Date,Clicks,Impressions,CTR,Position
2025-11-09,1,21,4.76%,12.57
2025-11-08,0,28,0%,19.71
2025-11-07,0,18,0%,16.06
2025-11-06,0,15,0%,17.53
2025-11-05,0,18,0%,11.44
2025-11-04,0,21,0%,14.52
2025-11-03,1,18,5.56%,18.11
2025-11-02,1,15,6.67%,9.8
2025-11-01,0,13,0%,7.54
2025-10-31,0,11,0%,7
2025-10-30,0,12,0%,6.67
2025-10-29,0,4,0%,7
2025-10-28,0,10,0%,7.7
2025-10-27,0,11,0%,8.36
2025-10-26,0,13,0%,10.31
2025-10-25,0,26,0%,11.81
2025-10-24,1,15,6.67%,29.6
2025-10-23,0,6,0%,28.17
2025-10-22,0,10,0%,8.2
2025-10-21,0,8,0%,9.75
2025-10-20,0,15,0%,10.67
2025-10-19,0,11,0%,18
2025-10-18,0,10,0%,6.8
2025-10-17,0,6,0%,25.5
2025-10-16,0,17,0%,12.88
2025-10-15,0,15,0%,6.6
2025-10-14,0,18,0%,15.56
2025-10-13,0,16,0%,12.81
2025-10-12,0,11,0%,15.64
2025-10-11,0,14,0%,10.21
2025-10-10,0,21,0%,10
2025-10-09,0,10,0%,16.3
2025-10-08,0,8,0%,10
2025-10-07,0,9,0%,4.44
2025-10-06,0,9,0%,8.67
2025-10-05,1,12,8.33%,11.92
2025-10-04,0,12,0%,16.08
2025-10-03,1,15,6.67%,12.27
2025-10-02,0,15,0%,13.27
2025-10-01,0,13,0%,24.62
2025-09-30,0,12,0%,18.83
2025-09-29,0,6,0%,53.83
2025-09-28,0,6,0%,8.5
2025-09-27,0,9,0%,10
2025-09-26,0,7,0%,23.57
2025-09-25,0,4,0%,73.25
2025-09-24,0,8,0%,19
2025-09-23,1,9,11.11%,27
2025-09-22,0,6,0%,20.17
2025-09-21,0,12,0%,7.17
2025-09-20,0,5,0%,7.6
2025-09-19,0,25,0%,17.68
2025-09-18,0,16,0%,35.94
2025-09-17,0,20,0%,20.2
2025-09-16,0,20,0%,33.6
2025-09-15,1,23,4.35%,22.65
2025-09-14,1,23,4.35%,18.78
2025-09-13,0,36,0%,18.28
2025-09-12,1,48,2.08%,40.38
2025-09-11,0,43,0%,61.77
2025-09-10,0,38,0%,67.16
2025-09-09,0,58,0%,52.14
2025-09-08,0,88,0%,54.02
2025-09-07,0,85,0%,52.42
2025-09-06,0,82,0%,62.21
2025-09-05,0,83,0%,58.86
2025-09-04,0,71,0%,71.08
2025-09-03,0,76,0%,70.14
2025-09-02,0,81,0%,70.78
2025-09-01,0,93,0%,59.37
2025-08-31,0,74,0%,76.61
2025-08-30,0,103,0%,62.72
2025-08-29,1,96,1.04%,62
2025-08-28,0,118,0%,55.34
2025-08-27,0,118,0%,57.12
2025-08-26,0,113,0%,57.76
2025-08-25,0,115,0%,54.64
2025-08-24,2,79,2.53%,55.46
2025-08-23,1,86,1.16%,55.6
2025-08-22,0,76,0%,61.55
2025-08-21,0,58,0%,45.4
2025-08-20,0,29,0%,64.38
2025-08-19,0,25,0%,56.96
2025-08-18,0,11,0%,26.09
2025-08-17,0,0,0%,0
2025-08-16,0,0,0%,0